username,league,team,country,region,agents,rounds,rating,acs,kd,kast,adr,kpr,apr,fkpr,fdpr,hs,clutch_rate
florescent,VCT Game Changers,SR,Viet Nam,Pacific,"[""Raze"", ""Jett""]",1160,1.45,306.6,1.69,78,196.0,1.09,0.21,0.21,0.12,26,16
Alexy,VCT Game Changers,XIP,Philippines,Pacific,"[""Raze"", ""Jett""]",563,1.38,256.8,1.73,83,167.7,0.94,0.29,0.14,0.10,26,11
dorothy,VCT Game Changers,MIR.GC,"Korea, Republic of",Pacific,"[""Jett"", ""Neon""]",335,1.35,278.6,1.46,78,182.6,0.99,0.19,0.21,0.11,24,24
Miku,VCT Game Changers,NCL.GC,Colombia,Americas,"[""Yoru"", ""Reyna""]",607,1.34,306.6,1.41,75,188.4,1.04,0.25,0.30,0.18,20,16
srN,VCT Game Changers,MIBR.GC,Brazil,Americas,"[""Jett"", ""Raze""]",870,1.34,295.0,1.43,75,193.3,1.03,0.22,0.27,0.18,23,25
Vania,VCT Game Changers,G2.G,Türkiye,Pacific,"[""Omen"", ""Viper""]",1064,1.34,234.5,1.52,83,151.8,0.85,0.41,0.08,0.05,38,21
shirazi,VCT Game Changers,XIP,Philippines,Pacific,"[""Killjoy"", ""Viper""]",563,1.32,231.6,1.59,82,156.9,0.82,0.34,0.09,0.05,20,19
conir,VCT Game Changers,KRÜ.B,Chile,Americas,"[""Omen"", ""Gekko""]",750,1.30,225.9,1.50,82,146.2,0.84,0.41,0.08,0.06,28,29
dods,VCT Game Changers,KRÜ.B,Brazil,Americas,"[""Fade"", ""Skye""]",750,1.29,278.6,1.46,77,180.1,1.01,0.21,0.23,0.14,32,30
Nezha,VCT Game Changers,BBB,Mexico,Americas,"[""Breach"", ""Skye""]",427,1.29,264.1,1.39,78,165.9,0.96,0.38,0.12,0.10,36,15
mmonch,VCT Game Changers,AKV.GC,Mexico,Americas,"[""Gekko"", ""Viper""]",979,1.28,231.8,1.43,78,151.3,0.85,0.26,0.09,0.05,32,21
Kamiyu,VCT Game Changers,XIP,Philippines,Pacific,"[""Skye"", ""Omen""]",563,1.28,234.1,1.46,82,151.9,0.84,0.48,0.07,0.06,33,32
enerii,VCT Game Changers,XIP,Indonesia,Pacific,"[""Reyna"", ""Skye""]",563,1.28,271.1,1.46,79,171.3,0.95,0.26,0.22,0.14,25,4
tok1o,VCT Game Changers,9ZG.GC,Argentina,Americas,"[""Chamber"", ""Raze""]",804,1.27,267.2,1.35,74,174.0,0.95,0.18,0.19,0.15,26,21
Jade,VCT Game Changers,,Germany,EMEA,"[""Omen"", ""KAY/O""]",838,1.25,233.6,1.21,77,150.1,0.82,0.50,0.09,0.04,31,17
dodonut,VCT Game Changers,FLY.R,Thailand,Pacific,"[""Raze"", ""Jett""]",1854,1.24,261.2,1.33,76,169.0,0.91,0.23,0.20,0.15,24,17
elfie,VCT Game Changers,MKS,Singapore,Pacific,"[""Phoenix"", ""Reyna""]",447,1.23,249.7,1.18,73,165.2,0.88,0.26,0.12,0.12,28,20
Jelly,VCT Game Changers,MIBR.GC,Brazil,Americas,"[""KAY/O"", ""Fade""]",870,1.22,233.4,1.28,78,149.0,0.85,0.37,0.10,0.06,37,17
Lied,VCT Game Changers,FSX,Peru,Americas,"[""Raze"", ""Omen""]",1055,1.22,268.3,1.28,73,175.7,0.94,0.23,0.21,0.14,25,19
