username,league,team,country,region,role,agents,rounds,rating,acs,kd,kast,adr,kpr,apr,fkpr,fdpr,hs,clutch_rate
aspas,VCT International,LEV,Brazil,Americas,Duelist,"[""Raze"", ""Reyna""]",1736,1.26,250.9,1.37,75,164.8,0.90,0.18,0.18,0.11,29,14
Leo,VCT International,FNC,Sweden,EMEA,Initiator,"[""Fade"", ""Sova""]",818,1.19,204.6,1.26,81,135.6,0.73,0.36,0.05,0.03,26,9
primmie,VCT International,TLN,Thailand,Pacific,Flex,"[""Clove"", ""Jett""]",203,1.16,249.9,1.15,71,165.0,0.90,0.23,0.13,0.10,41,20
N4RRATE,VCT International,SEN,United States,Americas,Initiator,"[""Gekko"", ""Fade""]",1137,1.16,233.2,1.17,76,153.9,0.81,0.33,0.12,0.08,26,19
trexx,VCT International,VIT,Russian Federation,EMEA,Flex,"[""Viper"", ""Fade""]",1000,1.16,219.6,1.12,76,146.1,0.75,0.43,0.09,0.08,19,13
invy,VCT International,TS,Philippines,Pacific,Flex,"[""KAY/O"", ""Viper""]",853,1.15,208.0,1.11,76,139.3,0.75,0.47,0.07,0.06,31,11
Chronicle,VCT International,FNC,Russian Federation,EMEA,Flex,"[""Viper"", ""KAY/O""]",1550,1.15,210.5,1.14,75,142.0,0.72,0.38,0.10,0.07,24,20
Sayf,VCT International,VIT,Sweden,EMEA,Controller,"[""Viper"", ""Omen""]",1238,1.14,227.5,1.20,70,147.6,0.82,0.22,0.13,0.13,28,14
Cryocells,VCT International,100T,United States,Americas,Controller,"[""Brimstone"", ""Astra""]",1139,1.14,230.1,1.20,73,148.3,0.83,0.23,0.14,0.10,24,19
zekken,VCT International,SEN,United States,Americas,Duelist,"[""Raze"", ""Jett""]",1650,1.13,255.3,1.19,72,163.9,0.88,0.22,0.22,0.18,24,17
Less,VCT International,VIT,Brazil,Americas,Flex,"[""Viper"", ""Cypher""]",957,1.13,202.2,1.15,72,141.0,0.73,0.25,0.08,0.08,30,8
Jemkin,VCT International,RRQ,Russian Federation,EMEA,Duelist,"[""Jett"", ""Raze""]",624,1.13,227.5,1.22,76,147.2,0.83,0.16,0.13,0.13,31,20
t3xture,VCT International,GEN,"Korea, Republic of",Pacific,Duelist,"[""Jett"", ""Raze""]",2405,1.12,236.7,1.20,71,152.6,0.84,0.16,0.19,0.14,27,18
s0m,VCT International,NRG,United States,Americas,Controller,"[""Clove"", ""Omen""]",215,1.12,224.7,1.13,78,143.6,0.77,0.45,0.09,0.07,27,19
sScary,VCT International,BLD,Thailand,Pacific,Controller,"[""Viper"", ""Omen""]",480,1.11,214.0,1.09,75,141.2,0.75,0.36,0.08,0.06,27,14
